INCIDENTNEIGHBORHOOD,count
Mt. Oliver Neighborhood,2
Troy Hill-Herrs Island,6
Mt. Oliver Boro,18
Central Northside,23
Ridgemont,37
Regent Square,37
New Homestead,39
Swisshelm Park,43
Chartiers City,46
East Carnegie,48
St. Clair,55
Outside County,57
Outside State,67
Summer Hill,76
Oakwood,82
