NEIGHBORHOOD,count
Banksville,15
Hazelwood,22
Sheraden,36
Point Breeze,40
Stanton Heights,50
Brighton Heights,52
Bloomfield,69
Middle Hill,69
Larimer,71
Garfield,81
Upper Hill,83
Central Oakland,90
Marshall-Shadeland,92
Elliott,93
Outside City,113
