ZipCode,INCIDENTNEIGHBORHOOD
15213,Bedford Dwellings
15213,Highland Park
15220,Hazelwood
15229,California-Kirkbride
15229,Brighton Heights
15227,Outside State
15227,Mount Oliver
15236,Troy Hill
15236,East Hills
15236,Outside City
15222,Polish Hill
15206,Arlington
15215,Strip District
15233,Elliott
15218,Troy Hill
15214,Bedford Dwellings
15218,East Allegheny
15210,Hays
15204,Brookline
15202,Spring Hill-City View
15214,West Oakland
15243,Banksville
15224,Allegheny Center
15207,Central Lawrenceville
15213,Ridgemont
15227,Squirrel Hill South
15202,Central Business District
15221,Overbrook
15203,North Shore
15224,Bedford Dwellings
15218,Larimer
15213,Lower Lawrenceville
15222,Overbrook
15217,Fineview
15212,Upper Lawrenceville
15211,Bedford Dwellings
15214,Bon Air
15203,Banksville
15227,Bon Air
15213,Point Breeze North
15203,Homewood South
15220,Squirrel Hill South
15207,Terrace Village
15239,Lincoln-Lemington-Belmar
15224,Perry South
15217,Glen Hazel
15220,Central Lawrenceville
15238,Mount Washington
15222,Glen Hazel
15214,Elliott
15226,Squirrel Hill North
15220,Windgap
15207,North Oakland
15203,West Oakland
15207,Brighton Heights
15221,Brighton Heights
15204,Outside County
15227,Elliott
15225,Perry South
15207,Troy Hill
15209,Garfield
15238,Northview Heights
15217,South Oakland
15215,Hazelwood
15215,Central Business District
15215,East Allegheny
15222,Larimer
15237,Northview Heights
15216,East Allegheny
15226,Homewood North
15227,Lincoln-Lemington-Belmar
15207,Marshall-Shadeland
15226,California-Kirkbride
15217,Bedford Dwellings
15218,Central Business District
15203,Upper Hill
15226,Spring Hill-City View
15220,Lincoln-Lemington-Belmar
15233,Hazelwood
15201,Central Oakland
15213,Brighton Heights
15213,Fineview
15210,Summer Hill
15204,Lower Lawrenceville
15235,Central Business District
15213,Westwood
15206,Windgap
15205,North Shore
15204,Perry South
15213,Stanton Heights
15206,Bon Air
15221,Spring Hill-City View
15220,Arlington
15208,Bedford Dwellings
15235,Beechview
15231,Outside City
