ZipCode,INCIDENTNEIGHBORHOOD
15224,Bon Air
15233,Sheraden
15213,Hazelwood
15233,Homewood West
15233,Arlington
15221,Outside County
15222,East Allegheny
15210,Crawford-Roberts
15206,Northview Heights
15206,Knoxville
15212,Mount Washington
15206,Stanton Heights
15233,Middle Hill
15220,Ridgemont
15212,Knoxville
15220,Westwood
15203,Arlington Heights
15210,Outside City
15212,Lincoln-Lemington-Belmar
15219,Arlington Heights
15221,Squirrel Hill South
15232,Bloomfield
15204,East Allegheny
15226,Knoxville
15208,Lincoln-Lemington-Belmar
15204,Crafton Heights
15219,Glen Hazel
15221,Larimer
15224,Homewood South
15207,West Oakland
15226,North Shore
15206,Swisshelm Park
15201,Polish Hill
15210,East Liberty
15217,Shadyside
15218,Shadyside
15212,West End
15233,West End
15206,Central Business District
15226,Beltzhoover
15206,Outside City
15210,Bluff
15221,Crawford-Roberts
15214,Marshall-Shadeland
15212,Outside City
15212,Crafton Heights
15232,North Shore
15207,Hays
15221,Stanton Heights
15233,Brookline
15201,North Oakland
15238,East Hills
15211,Spring Hill-City View
15217,Central Lawrenceville
15214,Spring Hill-City View
15214,Homewood North
15212,Elliott
15224,Lincoln-Lemington-Belmar
15227,Brookline
15215,Highland Park
15238,Highland Park
15213,East Hills
15203,Allentown
15221,Central Business District
15211,South Side Flats
15203,South Shore
15201,Strip District
15233,Arlington Heights
15212,Perry North
15210,Mount Oliver
15210,Strip District
15211,Garfield
15212,Allentown
15233,Central North Side
15224,East Liberty
15212,Hazelwood
15219,Ridgemont
15218,South Oakland
15218,Bloomfield
15234,Beechview
15206,Allentown
15236,Mount Washington
15220,Allentown
15208,Squirrel Hill South
15220,Oakwood
15223,Lincoln-Lemington-Belmar
15207,Squirrel Hill South
15208,Outside City
15220,Duquesne Heights
15203,Arlington
15214,Summer Hill
15232,Bluff
15237,Central North Side
15237,Fineview
15224,Crawford-Roberts
15218,Central Oakland
15220,South Side Flats
15212,Beltzhoover
15208,Larimer
15226,Bedford Dwellings
15216,Bloomfield
15226,Banksville
15220,Brookline
15204,Allegheny West
